apotheke,apotheke_plz,apotheke_stadt,name,bezeichnung,genetik,thc,cbd,preis_pro_gramm,verfuegbarkeit,produkt_url
Cannabis Taxi,73730,Esslingen,Garlic Truffle,N!CE 31/1 GT,Hybrid Indica Dominant,31%,1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/n_ce_31_1_gt-garlic_truffle?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Peach Chementine,420 Evolution 30/1 CA PCH,Hybrid,30%,<1%,"7,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/420-evolution-30-1-ca-pch-peach-chementine?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Maluti CBD,Cannabis flos 1/14 LS Ku.,Hybrid Indica Dominant,1%,14%,"7,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/canify_cannabis_flos_1_14_ls_ku-maluti_cbd?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Bliss,Drapalin 28/1 Bliss,Hybrid Indica Dominant,28%,1%,"4,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/drapalin_28_1_bliss-bliss?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Bashengo,Luana Electric 24/1,Indica,22%,1%,"5,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/luana_electric_24_1-bashengo?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Tropicake,auch genannt Tropical Cake,Hybrid Sativa Dominant,24%,1%,"7,25 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/sinceritas_sativa_verum_24_1_tc-tropicake?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,White Widow,Weeco 1A 18/1 WW,Hybrid,18%,1%,"5,75 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/weeco_1a_18_1_ww-white_widow?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Chapel of Love,Canify Cannabis flos 30/1 POR Ku.,Hybrid,31%,<1%,"6,95 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/canify_cannabis_flos_30_1_por_ku_-chapel_of_love?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,GMO X Gush Mints,Demecan CRAFT Emerald 27:1,Hybrid,27%,<1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/demecan_craft_emerald_27_01-gmo_x_gush_mints?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
Cannabis Taxi,73730,Esslingen,Frosted Gumbo,Remexian 32/1 CRF FG,Hybrid Indica Dominant,32%,1%,"6,45 €/g",Auf Lager,https://greenmedical.health/de/cannabis/flower/remexian_32_1_crf_fg-frosted_gumbo?deliveryTarget=cGhhcm1hY3k6fDo1NjI3NWFhNC0yNGY2LTQ2YmQtYmVhZi1mOWJkYTIzNDlmYjM%3D#reviews
